City_ID,City,Lat,Lng,MaxTemp,Humidity,Clouds,Wind,Country,Date
126,Brigham city,41.51,-112.02,279.82,81,1,1.5,US,Sun Mar 31 23:55:12 2019
127,Dryden,49.79,-92.84,271.15,63,90,4.6,CA,Sun Mar 31 23:00:00 2019
128,Black river,18.03,-77.85,299.15,78,40,2.1,JM,Sun Mar 31 23:00:00 2019
129,Lynden,48.95,-122.46,283.71,75,1,0.95,US,Sun Mar 31 23:55:10 2019
130,Marsh harbour,26.54,-77.06,295.24,100,0,1.05,BS,Sun Mar 31 23:55:26 2019
131,Grand gaube,-20.01,57.66,303.15,66,40,1,MU,Sun Mar 31 23:54:01 2019
132,Tuatapere,-46.13,167.69,281.48,86,92,1.34,NZ,Sun Mar 31 23:50:06 2019
133,Ilulissat,69.22,-51.1,262.15,66,0,10.8,GL,Sun Mar 31 22:50:00 2019
134,Monrovia,6.33,-10.8,298.15,94,40,1.2,LR,Sun Mar 31 23:00:00 2019
135,Falam,22.91,93.68,301.34,40,0,0.75,MM,Sun Mar 31 23:55:29 2019
136,Kavieng,-2.57,150.8,302.49,97,80,4.35,PG,Sun Mar 31 23:55:29 2019
137,Padang,-0.92,100.36,302.15,74,20,2.6,ID,Sun Mar 31 23:00:00 2019
138,Avarua,-21.21,-159.78,301.15,88,64,5.1,CK,Sun Mar 31 23:30:00 2019
139,Beloha,-25.17,45.06,298.24,66,0,1.9,MG,Sun Mar 31 23:55:31 2019
140,Aden,12.79,45.03,300.09,96,64,7.5,YE,Sun Mar 31 23:55:31 2019
141,Troitsko-pechorsk,62.71,56.19,273.39,68,48,1.5,RU,Sun Mar 31 23:55:31 2019
142,Ballitoville,-29.54,31.21,297.04,94,20,2.1,ZA,Sun Mar 31 23:55:03 2019
143,Dukat,62.55,155.55,265.44,85,80,3.85,RU,Sun Mar 31 23:55:32 2019
144,Uk,55.08,98.86,285.84,50,20,1.75,RU,Sun Mar 31 23:55:33 2019
145,Mandiana,10.62,-8.7,296.09,75,0,2.45,GN,Sun Mar 31 23:55:33 2019
146,Port elizabeth,-33.92,25.57,291.15,68,20,10.8,ZA,Sun Mar 31 23:32:00 2019
147,Wawa,47.99,-84.77,264.89,81,12,2.5,CA,Sun Mar 31 23:55:35 2019
148,Fare,-16.7,-151.02,302.74,96,8,2,PF,Sun Mar 31 23:55:35 2019
149,Markova,52.21,104.21,284.15,43,0,4,RU,Sun Mar 31 23:30:00 2019
150,Isla mujeres,21.23,-86.73,299.15,74,20,3.6,MX,Sun Mar 31 23:52:21 2019
151,Severo-kurilsk,50.68,156.12,271.69,100,88,1.25,RU,Sun Mar 31 23:55:37 2019
152,Bambous virieux,-20.34,57.76,303.15,66,40,1,MU,Sun Mar 31 23:54:01 2019
153,Sovetskoye,51.44,46.74,281.15,52,0,5,RU,Sun Mar 31 23:30:00 2019
154,Provideniya,64.42,-173.23,272.04,96,76,2.5,RU,Sun Mar 31 23:55:39 2019
155,Hami,42.84,93.51,293.39,43,44,1.65,CN,Sun Mar 31 23:55:39 2019
156,Goundi,9.36,17.37,297.84,27,20,3.55,TD,Sun Mar 31 23:55:40 2019
157,Mahebourg,-20.41,57.7,303.15,66,40,1,MU,Sun Mar 31 23:54:01 2019
158,Tateyama,36.66,137.31,279.26,75,75,2.6,JP,Sun Mar 31 23:53:34 2019
159,Hay river,60.82,-115.79,276.15,69,75,9.3,CA,Sun Mar 31 23:00:00 2019
160,Hithadhoo,-0.6,73.08,301.39,100,36,1.2,MV,Sun Mar 31 23:54:47 2019
